,words,count
9037,कार,5
9038,माधव,5
9039,जोगिनु,5
9040,प्रकृतिले,5
9041,हरिप्रसाद,5
9042,महिलाहरूको,5
9043,सहसचिव,5
9044,संरक्षणका,5
9045,ललित,5
9046,गर्दछौँ,5
9047,स्वाभाविक,5
9048,सर्जन,5
9049,सुनसरीमा,5
9050,तरीका,5
9051,नफैलाऔं,5
9052,नेपाललाइ,5
9053,थोक,5
9054,बार्षिक,5
9055,सवारीको,5
9056,सेवाहरू,5
9057,पूर्वतयारीका,5
9058,मेगावाटको,5
9059,जलविद्युत्,5
9060,हलमा,5
9061,गर्भपतन,5
9062,अनियमिततामा,5
9063,मुछिएको,5
9064,टेलिभिजनमा,5
9065,देखिँदै,5
9066,कला,5
9067,महावीर,5
9068,कनकाई,5
9069,त्राहिमाम,5
9070,नपाईने,5
9071,सेप्टेम्बर,5
9072,संघसंस्थाले,5
9073,भीटीएम,5
9074,निरास,5
9075,महाअभियान,5
9076,अप्ठेरोमा,5
9077,सकता,5
9078,माघसम्म,5
9079,भुवनप्रसाद,5
9080,टोलमै,5
9081,टुर,5
9082,नवलपुरमा,5
9083,स्बाव,5
9084,दास,5
9085,विशेषगरी,5
9086,चाल,5
9087,रोक्दै,5
9088,बिरामीहरूको,5
9089,नन,5
9090,भन्नुस्,5
9091,पाँचथर,5
9092,नाङ्गो,5
9093,त्रिविका,5
9094,थन्किएको,5
9095,एस्तो,5
9096,दिइन्छ,5
9097,अक्षर,5
9098,चयन,5
9099,भेन्टीलेटरमा,5
9100,वैज्ञानिकहरुले,5
9101,धौलागिरि,5
9102,अध्येता,5
9103,कार्यदिशा,5
9104,विश्लेषणात्मक,5
9105,नआउन,5
9106,पाउण्डसम्म,5
9107,बाह्र,5
9108,अन्तरिक,5
9109,नभाको,5
9110,गाउ,5
9111,नहुदै,5
9112,सदस्यहरुलाई,5
9113,निर्बाध,5
9114,पठनीय,5
9115,रामेछाप,5
9116,बाँडेको,5
9117,क्रिकेटको,5
9118,जादैन,5
9119,अल्कोहल,5
9120,नपरौ,5
9121,पुग्दैछ,5
9122,मनाङमा,5
9123,सिपाही,5
9124,मिलाउनु,5
9125,गुल्मीमा,5
9126,गरिसक्यो,5
9127,अवधीमा,5
9128,लिनका,5
9129,आजैबाट,5
9130,हुन्छु,5
9131,सन्देशमा,5
9132,पेशामा,5
9133,आपूर्तिमन्त्री,5
9134,सिद्धार्थ,5
9135,एन्टोनियो,5
9136,छ्,5
9137,नजानेर,5
9138,उपहारस्वरुप,5
9139,यसमध्ये,5
9140,पाउला,5
9141,लाभदायक,5
9142,सञ्चारकर्मीलाई,5
9143,विभेदको,5
9144,संस्कारका,5
9145,भौंतारिनु,5
9146,लिस्ट,5
9147,मिसन,5
9148,नियति,5
9149,सामाजीक,5
9150,बस्नेलाई,5
9151,अगस्टमा,5
9152,बढाउनका,5
9153,रेमडिसिभिर,5
9154,गर्नेहरूलाई,5
9155,भयन,5
9156,डाउनले,5
9157,बहिर्गमन,5
9158,जनस्वास्थ्यविद्,5
9159,तथ्याङ्कअनुसार,5
9160,कारागारका,5
9161,अपूरणीय,5
9162,दर्दनाक,5
9163,सुँघ्ने,5
9164,सेवाग्राहीलाई,5
9165,स्थानीयस्तरमा,5
9166,सिडिओ,5
9167,यत्तिकै,5
9168,प्रसस्त,5
9169,नबुझ्न,5
9170,ओमानमा,5
9171,खेतमा,5
9172,छुट्याइएको,5
9173,आन्दोलित,5
9174,उस्को,5
9175,देखाउदै,5
9176,संकटग्रस्त,5
9177,सहयोगार्थ,5
9178,बर्बाद,5
9179,छुट्टीमा,5
9180,डिजाइन,5
9181,जतिको,5
9182,झडप,5
9183,संशोधनको,5
9184,छदै,5
9185,माँग,5
9186,इबोलाको,5
9187,प्रभावितका,5
9188,मोडेलहरुको,5
9189,जनमानसको,5
9190,नराखौं,5
9191,यात्री,5
9192,शशांक,5
9193,व्यवस्थापकीय,5
9194,परिवारले,5
9195,निधनपछि,5
9196,फैलाउनु,5
9197,परको,5
9198,बिज्ञहरुको,5
9199,उज्ज्वल,5
9200,खतम,5
9201,पाउनुहोस्,5
9202,प्रयासलाई,5
9203,क्षतिमा,5
9204,डिप्रेसन,5
9205,सजगताका,5
9206,कलेजको,5
9207,विद्यार्थीहरू,5
9208,इमिरेट्समा,5
9209,यसकै,5
9210,चिर्न,5
9211,बुझ्नुस्,5
9212,अवलोकन,5
9213,सकेर,5
9214,उत्पादनका,5
9215,वर्षसम्मका,5
9216,सूचीसहित,5
9217,रहेकोमा,5
9218,तेलको,5
9219,बेचेर,5
9220,नागार्जुन,5
9221,अार्थिक,5
9222,मच्छिन्द्रनाथको,5
9223,काँग्रेसद्वारा,5
9224,भिडमा,5
9225,टेन्डर,5
9226,आर्जन,5
9227,खादै,5
9228,ह्याम्स,5
9229,स्वास्थ्यमन्त्रीको,5
9230,शासकले,5
9231,शीर्षकमा,5
9232,प्रवेशको,5
9233,डीसीसीएमसी,5
9234,गुणस्तरहीन,5
9235,नबसी,5
9236,यूरोप,5
9237,चुस्न,5
9238,हिजोसम्म,5
9239,पानिले,5
9240,दिग्भ्रमित,5
9241,डाक्टरहरुले,5
9242,रूघा,5
9243,छि,5
9244,जिल्लालाई,5
9245,भियतनाम,5
9246,काठमाडाै,5
9247,भाग्ने,5
9248,कूटनीतिमा,5
9249,सामाग्रीहरुको,5
9250,अझैं,5
9251,विपी,5
9252,नेवारी,5
9253,महामारीबारे,5
9254,सरुवारोगहरुको,5
9255,टिटानस,5
9256,दोलखा,5
9257,शक्ती,5
9258,दिवंगत,5
9259,खादा,5
9260,गर्लान,5
9261,अनुराेध,5
9262,रेलमार्गको,5
9263,निस्किएको,5
9264,शहिद,5
9265,अपनाए,5
9266,छुन,5
9267,स्वास्थ्यकर्मीमाथि,5
9268,हुदाँ,5
9269,चान्सलर,5
9270,उडानबाट,5
9271,मार्छ,5
9272,तपाईहरु,5
9273,समाचारका,5
9274,अर्थमा,5
9275,पदाधिकारीलाई,5
9276,नवलपुरका,5
9277,छिटोछरितो,5
9278,मरेर,5
9279,रंगशाला,5
9280,सुचनाको,5
9281,आश्वासन,5
9282,डेरामा,5
9283,गएमा,5
9284,अभी,5
9285,हर्कत,5
9286,परीक्षणसँगै,5
9287,छाडेपछि,5
9288,खाका,5
9289,कहां,5
9290,स्टाफलाई,5
9291,पत्रकारमा,5
9292,गरिएसँगै,5
9293,दुबैको,5
9294,उपस्थिती,5
9295,बचाअौ,5
9296,ज्यालादारीमा,5
9297,तोड्दै,5
9298,आग्रहमा,5
9299,नहुँदै,5
9300,कर्मचारीहरूको,5
9301,गर्नेहरू,5
9302,विमानको,5
9303,दिनू,5
9304,लक्ष्यण,5
9305,युवाहरुलाई,5
9306,जनस्वास्थ,5
9307,परिप्रेक्ष्यमा,5
9308,रणनीतिका,5
9309,ब्यापारी,5
9310,रोइलो,5
9311,द्वन्द्व,5
9312,हेतुले,5
9313,मेमोरियल,5
9314,नेपालिलाई,5
9315,सभ्यतामा,5
9316,अल्पसंख्यक,5
9317,अन्त्यपछि,5
9318,रत्ननगर,5
9319,जाँदैछ,5
9320,यसअघिको,5
9321,पक्षको,5
9322,बढने,5
9323,परोपकार,5
9324,ढाकछोप,5
9325,पूर्वगोर्खा,5
9326,विनियोजित,5
9327,भएकाहरू,5
9328,सीसीएमसीले,5
9329,गरिएकालाई,5
9330,ब्यापी,5
9331,फोरमको,5
9332,ओसारपसार,5
9333,मर्छन,5
9334,क्षेत्री,5
9335,लाग्दैन्,5
9336,राख्छन्,5
9337,कसैसँग,5
9338,गर्नेहरुको,5
9339,बनाउँदा,5
9340,च्याम्पियन्स,5
9341,खतरालाई,5
9342,उभिएको,5
9343,ब्यक्तिलाई,5
9344,डक्टरको,5
9345,लाग्दैछ,5
9346,संकास्पद,5
9347,सुधार्न,5
9348,नआउँदै,5
9349,गैंडाकोटमा,5
9350,उडायो,5
9351,स्थानीयले,5
9352,पुगिसकेका,5
9353,सिर्फ,5
9354,मंत्रालय,5
9355,किन्नु,5
9356,बढ्यै,5
9357,ढिलोचाँडो,5
9358,उम्किन,5
9359,लक्ष्यमा,5
9360,रहन्छन्,5
9361,भंग,5
9362,रित्तै,5
9363,एयरपोर्ट,5
9364,संक्रमणकाे,5
9365,जाउँ,5
9366,फर्काएको,5
9367,डोटीका,5
9368,सिरहामा,5
9369,सावुन,5
9370,त्रिलोचन,5
9371,भानु,5
9372,बिहानैदेखि,5
9373,बच्नको,5
9374,जगाउने,5
9375,भलिबल,5
9376,भैरहवा,5
9377,श्रमिकहरू,5
9378,कृतिम,5
9379,कामपा,5
9380,क्षेत्रीले,5
9381,हुनुका,5
9382,आवश्यकतालाई,5
9383,थियोे,5
9384,समुहमा,5
9385,घुइँचो,5
9386,बितेको,5
9387,विदितै,5
9388,लिङ्ग,5
9389,झर्ने,5
9390,पुटिनको,5
9391,ईन्टरनेट,5
9392,थालेकाले,5
9393,बनि,5
9394,अमित,5
9395,महाराजगञ्जमा,5
9396,प्रिमियम,5
9397,युवाहरूको,5
9398,नियमले,5
9399,रोकने,5
9400,रहेकालाई,5
9401,अदालतका,5
9402,तस्बिरहरु,5
9403,विकल्पका,5
9404,फुटबलमा,5
9405,चैतबाट,5
9406,छोरीलाई,5
9407,गरीरहेको,5
9408,सोचका,5
9409,बाँचिरहेका,5
9410,ट्रेसिङ्ग,5
9411,लुकाउन,5
9412,नलागे,5
9413,टेस्टिंग,5
9414,नहुञ्जेल,5
9415,सुकेर,5
9416,सुसूचित,5
9417,विषयगत,5
9418,नपरी,5
9419,विश्वासमा,5
9420,जालमा,5
9421,पागल,5
9422,प्लान,5
9423,बढौं,5
9424,प्रणालीबाट,5
9425,खुराक,5
9426,सोसाइटी,5
9427,प्रतिनिधित्व,5
9428,टुइट,5
9429,फुटाउने,5
9430,पाइलाले,5
9431,सिक्वेन्सिङ,5
9432,पसे,5
9433,अध्ययनबाट,5
9434,देखिँदा,5
9435,स्विकृति,5
9436,अर्थमन्त्रीको,5
9437,सट,5
9438,व्यक्तिहरुमा,5
9439,मिल्दो,5
9440,बढोस्,5
9441,बढाऔं,5
9442,फिफाले,5
9443,उडानहरू,5
9444,अपनाऔँ,5
9445,गृहमन्त्रालयले,5
9446,मिश्रा,5
9447,बेनीमा,5
9448,नजाऔं,5
9449,संकलनका,5
9450,सवारीमा,5
9451,भएजस्तो,5
9452,जम्मु,5
9453,वरदान,5
9454,छरेर,5
9455,डेथ,5
9456,डब्लूएचओका,5
9457,मुलुकमध्ये,5
9458,अनुसन्धानकर्ताले,5
9459,गरिमा,5
9460,घन्टामै,5
9461,स्थागित,5
9462,निस्कदा,5
9463,पाउलान्,5
9464,निस्किने,5
9465,बित्दा,5
9466,फुट,5
9467,द्रुतमार्ग,5
9468,देख्छु,5
9469,सँक्रमण,5
9470,अस्पतालहरूको,5
9471,संङ्क्रमितको,5
9472,अतिप्रभावित,5
9473,लण्डनको,5
9474,छुने,5
9475,छस्वास्थ्य,5
9476,महिनाअघि,5
9477,त्यतै,5
9478,मास,5
9479,विश्वप्रकाश,5
9480,अनसनमा,5
9481,जनस्वास्थ्यमा,5
9482,पवित्र,5
9483,राखेपको,5
9484,साँवा,5
9485,सिमानाको,5
9486,खोज्या,5
9487,काठमाडाैँ,5
9488,मातहत,5
9489,विष्ट,5
9490,मार्ला,5
9491,सेनिटाईजर,5
9492,थुक,5
9493,बचाव,5
9494,निशाना,5
9495,वर्क,5
9496,बाध्यात्मक,5
9497,फरवार्ड,5
9498,एटीएम,5
9499,सीमाको,5
9500,इसके,5
9501,भाइसर,5
9502,मल्ललाई,5
9503,दिएछ,5
9504,परेकाहरुलाई,5
9505,लम्बिँदो,5
9506,तुरून्त,5
9507,गरिसकेका,5
9508,बैठकबाट,5
9509,मञ्च,5
9510,फुर्सदिला,5
9511,फेक,5
9512,यतातर्फ,5
9513,ओझेल,5
9514,एप्पलले,5
9515,सचेतनामूलक,5
9516,कारोबारको,5
9517,विषयान्तर,5
9518,व्यबस्था,5
9519,थपिएपछि,5
9520,विद्यालयद्वारा,5
9521,माहामारिको,5
9522,चाल्यो,5
9523,हाउस,5
9524,बृहत्,5
9525,पुर्वाधार,5
9526,उदासीनता,5
9527,नगरिएको,5
9528,निकाे,5
9529,अल्पविकसित,5
9530,निहुँमा,5
9531,भबिस्यमा,5
9532,सक्दछ,5
9533,मेसिनबाट,5
9534,झुटो,5
9535,बस्नुस्,5
9536,बन्दुक,5
9537,मापन,5
9538,पुस्ताले,5
9539,टीसीएम,5
9540,जेनेभा,5
9541,भइसकेपछि,5
9542,संयोजनमा,5
9543,मलेरिया,5
9544,क्षमा,5
9545,सुरक्षितसाथ,5
9546,तपाईहरू,5
9547,जित्नेको,5
9548,राष्ट्रपतीय,5
9549,हेरे,5
9550,अवस्य,5
9551,गरेजस्तो,5
9552,सुरक्षार्थ,5
9553,भाइस,5
9554,चरमोत्कर्षमा,5
9555,संकटपूर्ण,5
9556,चल्यो,5
9557,यूवा,5
9558,बच्नु,5
9559,सान,5
9560,हेरी,5
9561,जिम्मेबारी,5
9562,पठाइएकी,5
9563,लगायतलाई,5
9564,रामदेव,5
9565,टर्की,5
9566,चोक,5
9567,पुस्तिका,5
9568,प्रकोपमा,5
9569,हुँदैनन्,5
9570,भन्दैछ,5
9571,लिनेहरुको,5
9572,आतुर,5
9573,बना,5
9574,पटक्कै,5
9575,कोशिश,5
9576,बलमा,5
9577,रन,5
9578,कुराकानीमा,5
9579,कामदारका,5
9580,गर्व,5
9581,नलिएको,5
9582,नगरपालिकालाई,5
9583,सम्मानिय,5
9584,आभाष,5
9585,सम्मलाई,5
9586,जानेले,5
9587,डाक्टरमाथि,5
9588,रोगसंग,5
9589,नगएको,5
9590,जस्को,5
9591,उनीहरूमध्ये,5
9592,काभ्रेपलाञ्चोक,5
9593,जाती,5
9594,गर्भवतीको,5
9595,निर्धक्क,5
9596,राहतमा,5
9597,नेपालभरी,5
9598,पाउदा,5
9599,हजारका,5
9600,चुहा,5
9601,डोटीले,5
9602,संसदले,5
9603,स्टेरोइड,5
9604,दाना,5
9605,ओस्कार,5
9606,रेलका,5
9607,बाँझो,5
9608,बस्या,5
9609,सरकारहरुले,5
9610,पौडेलज्यूको,5
9611,छुट्कारा,5
9612,बन्दाबन्दीलाई,5
9613,बोर्डमा,5
9614,नेपालिले,5
9615,प्रतिष्,5
9616,शाहिद,5
9617,अफ्रिदीलाई,5
9618,छोएको,5
9619,कार्यशैली,5
9620,वालों,5
9621,गौतमको,5
9622,नआउनु,5
9623,गरिन,5
9624,सुरक्षालाई,5
9625,सुरुभएको,5
9626,नागरिकमाथि,5
9627,अचम्मको,5
9628,धामी,5
9629,केजरीवालको,5
9630,प्रबेश,5
9631,नपाइ,5
9632,बोल्नु,5
9633,जनमानसलाई,5
9634,वाटर,5
9635,काङ्ग्रेसको,5
9636,सिमेन्टले,5
9637,बुझ्नै,5
9638,पाना,5
9639,लिँदा,5
9640,खोजौं,5
9641,लड़ाई,5
9642,हिटम्याप,5
9643,यादवलाई,5
9644,उडड्यन,5
9645,अधिकारीका,5
9646,दिलिप,5
9647,त्यसमध्ये,5
9648,सुकुम्बासी,5
9649,इज्जत,5
9650,भित्रिए,5
9651,कारवाहीको,5
9652,ज़रूरी,5
9653,बदल्दै,5
9654,पेशागत,5
9655,आर्यघाट,5
9656,प्रतिज्ञा,5
9657,शाहीको,5
9658,केटाकेटी,5
9659,पत्याउन,5
9660,बुज्न,5
9661,लुटपाट,5
9662,कोरोनासंग,5
9663,यससँग,5
9664,लण्डन,5
9665,लकडाऊन,5
9666,लामखुट्टेको,5
9667,तिब्बत,5
9668,थर,5
9669,सातामै,5
9670,जातिय,5
9671,घण्टाको,5
9672,बस्नेको,5
9673,मौत,5
9674,यसतर्फ,5
9675,आत्मरतिमा,5
9676,तथ्यगत,5
9677,प्रभुत्व,5
9678,डाक्टरसँग,5
9679,फर्किँदै,5
9680,बलको,5
9681,बाबु,5
9682,स्क्यान,5
9683,गण्डक,5
9684,अनुत्पादक,5
9685,धुर्कोट,5
9686,टीकापुर,5
9687,लोचन,5
9688,फोहोरि,5
9689,अल्पज्ञान,5
9690,ईतिहास,5
9691,भान,5
9692,ग्रिन,5
9693,खाद्यान्नको,5
9694,सिटिजन्स,5
9695,गौरीफन्टा,5
9696,चालकले,5
9697,नहि,5
9698,क्लबमा,5
9699,सार्है,5
9700,अस्पातल,5
9701,संक्रमितबाट,5
9702,जनसंख्यामा,5
9703,युद्द,5
9704,धनकुटाका,5
9705,विहीन,5
9706,परिसंघले,5
9707,मुखैमा,5
9708,आएसी,5
9709,सन्तुलन,5
9710,एशियामै,5
9711,माननिय,5
9712,गरिएपनि,5
9713,चुनौतीमा,5
9714,मुम्बईबाट,5
9715,गोर्खाली,5
9716,घडी,5
9717,विषादी,5
9718,तेन्जिङ,5
9719,नरैनापुरको,5
9720,टेस्टका,5
9721,लाग्दैमा,5
9722,टेन्ट,5
9723,भएकाप्रति,5
9724,गुमाइन्,5
9725,नरोकिएपछि,5
9726,पशुपतिमा,5
9727,प्रसव,5
9728,वषर्ीया,5
9729,मिहेनत,5
9730,पस्न,5
9731,छर्कन,5
9732,दृढ,5
9733,रामु,5
9734,योजनाहरु,5
9735,बजेसम्मका,5
9736,सरी,5
9737,युद्धको,5
9738,लण्डनबाट,5
9739,भजनी,5
9740,भाेलि,5
9741,नर्सहरु,5
9742,रातारात,5
9743,छाडेको,5
9744,नदिऔं,5
9745,गणेश,5
9746,मृत्युसँग,5
9747,महारानी,5
9748,कामबारे,5
9749,उच्चस्तरिय,5
9750,प्रख्यात,5
9751,फर्मुला,5
9752,जातिका,5
9753,लोगो,5
9754,पानीजहाज,5
9755,त्,5
9756,किसानहरुकाे,5
9757,हुँदैछन्,5
9758,अनुवाद,5
9759,सिनसिटी,5
9760,उपाध्याय,5
9761,नेपालीसहित,5
9762,अप्रिलमा,5
9763,डाइभर्सिटी,5
9764,डिभी,5
9765,जनावर,5
9766,निजगढ,5
9767,सञ्चारमाध्यमका,5
9768,अन्तरास्ट्रिय,5
9769,शुरूमा,5
9770,बुलेट,5
9771,पकाउने,5
9772,दिल्लीको,5
9773,कुकुरमा,5
9774,जदौ,5
9775,मूलका,5
9776,महामारीविरूद्ध,5
9777,फैलाएकाले,5
9778,त्रुटिपूर्ण,5
9779,बसमा,5
9780,न्युनीकरणका,5
9781,दलहरु,5
9782,नेदरल्याण्डमा,5
9783,जगतले,5
9784,अतिउच्च,5
9785,डोटेली,5
9786,उदपयुरकी,5
9787,व्ययभार,5
9788,आसपासका,5
9789,सञ्चारमाध्यम,5
9790,फुडमाण्डुले,5
9791,डाउनमा,5
9792,मंगलबारबाट,5
9793,चालकको,5
9794,हलिउड,5
9795,कन्फ्रेन्समार्फत्,5
9796,फुटबलको,5
9797,महामारिको,5
9798,भूमिसम्बन्धी,5
9799,टम,5
9800,प्रत्यारोप,5
9801,एचसीक्यू,5
9802,पाईयोस,5
9803,खटाउने,5
9804,यसैगरि,5
9805,नहेर्ने,5
9806,व्यक्तिबीचको,5
9807,ज्यालामा,5
9808,भैइ,5
9809,जहाजबाट,5
9810,उत्कर्ष,5
9811,सूचनालाई,5
9812,पेप्सीकोला,5
9813,प्रमुखसँग,5
9814,भिडिओसहित,5
9815,नका,5
9816,फैलिएमा,5
9817,भेटेरिनरी,5
9818,कवच,5
9819,लम्किचुहाकी,5
9820,स्वाथ्य,5
9821,खटाइयो,5
9822,बर्षले,5
9823,पूजामा,5
9824,छन्यो,5
9825,भारतीयमा,5
9826,नचिन्ने,5
9827,रोबोटको,5
9828,ईटाली,5
9829,एप्प,5
9830,प्रचण्डद्वारा,5
9831,कालीन,5
9832,राजनीतिकीकरण,5
9833,एपमा,5
9834,हुबे,5
9835,इटलीका,5
9836,अनलाइनखबर,5
9837,हेलिकप्टरबाट,5
9838,वेबबाट,5
9839,मौनधारण,5
9840,इटालीले,5
9841,राष्ट्रहरुको,5
9842,न्यूरोसर्जन,5
9843,झापाबाट,5
9844,गाउँको,5
9845,त्यसपछी,5
9846,देशद्वारा,5
9847,सामानहरु,5
9848,राजकुमारीको,5
9849,राजपरिवारका,5
9850,पर्सनल,5
9851,जिज्ञाशा,5
9852,ग्यासको,5
9853,महाभियान,5
9854,प्रजातिभन्दा,5
9855,कामपाको,5
9856,एरासमस,5
9857,अनुसन्धानकर्ताहरुले,5
9858,विदेशीलाई,5
9859,खेलकूदमा,5
9860,खरिपाटीस्थित,5
9861,चरणका,4
9862,नबित्दै,4
9863,फोटोफिचर,4
9864,कोल्ड,4
9865,बटुल्ने,4
9866,उत्साहपूर्ण,4
9867,पलायन,4
9868,स्वास्थ्यसुरक्षा,4
9869,माघदेखि,4
9870,लगाउनका,4
9871,सॅंग,4
9872,लगानीका,4
9873,पौष,4
9874,फोक्सोको,4
9875,तरिकाहरू,4
9876,अनुमानका,4
9877,टोपी,4
9878,दिवश,4
9879,हङकङका,4
9880,बायोटेकको,4
9881,बंगलादेशले,4
9882,नुवाकोटमा,4
9883,क्यानडाको,4
9884,कोभीडको,4
9885,भन्याे,4
9886,बासिन्दालाई,4
9887,व्यवसायीहरुले,4
9888,प्रोत्साहित,4
9889,भ्याक्सिनलाई,4
9890,पोषणको,4
9891,रमाउन,4
9892,प्रतियोगिताका,4
9893,घरदैलोमा,4
9894,इङ्लिस,4
9895,रात्रिकालिन,4
9896,शितल,4
9897,बालुवाटारको,4
9898,सरकारकै,4
9899,प्रावधान,4
9900,टीमले,4
9901,ह्वाइट,4
9902,त्रासदीपूर्ण,4
9903,देशहरुलाई,4
9904,वितरणका,4
9905,बिनाश,4
9906,गण,4
9907,स्थानान्तरण,4
9908,स्थायित्व,4
9909,ढाका,4
9910,आखा,4
9911,समस्याहरू,4
9912,पोशाक,4
9913,अग्रेजी,4
9914,शुभकामनाको,4
9915,नियाल्दा,4
9916,प्रकृतिसँग,4
9917,सोचाइ,4
9918,मुर्खता,4
9919,राजदूतले,4
9920,औषधिमा,4
9921,सहयोगप्रति,4
9922,समाग्री,4
9923,प्रभावशाली,4
9924,परियो,4
9925,बोतल,4
9926,सिनोफार्म,4
9927,कम्पनीद्वारा,4
9928,सशर्त,4
9929,इतिहासकै,4
9930,पर्वतमा,4
9931,छताछुल्ल,4
9932,विनय,4
9933,मापदण्डको,4
9934,मौसमको,4
9935,गराइदिन,4
9936,जन्मदिनको,4
9937,मोडर्नाको,4
9938,अस्ट्राजेनिकाद्वारा,4
9939,कूनै,4
9940,खुलाएको,4
9941,छोराछोरी,4
9942,लिप्त,4
9943,बिजनेस,4
9944,सिटी,4
9945,परिवर्तित,4
9946,कार्यशाला,4
9947,दुवैले,4
9948,आउदैछ,4
9949,खपतमा,4
9950,मन्त्रीहरू,4
9951,अस्पतालहरु,4
9952,मोवाईल,4
9953,राधिका,4
9954,भेटिएसँगै,4
9955,रेन्त,4
9956,आशाका,4
9957,तगारो,4
9958,उद्देश्यसहित,4
9959,नरम,4
9960,गरिराख्नु,4
9961,सिड्नीमा,4
9962,क्याम्पमा,4
9963,जनालाइ,4
9964,गुन,4
9965,आविस्कार,4
9966,अस्ट्रेलियाको,4
9967,लडाइँका,4
9968,युट्युव,4
9969,अर्काे,4
9970,यहां,4
9971,छूट,4
9972,निम्तो,4
9973,करारमा,4
9974,बाइडेनलाई,4
9975,खर्व,4
9976,सिकायो,4
9977,सुचीमा,4
9978,डेमोक्रेसी,4
9979,घोषण,4
9980,नेताहरूको,4
9981,गरुँ,4
9982,भर्सन,4
9983,अनपेक्षित,4
9984,हितको,4
9985,प्रधानमन्त्रीज्यू,4
9986,धोका,4
9987,संवोधन,4
9988,टोलि,4
9989,इन्स्योरेन्स,4
9990,चिन्ह,4
9991,होश,4
9992,काङ्ग्रेसका,4
9993,इजरायलमा,4
9994,बेन्जामिन,4
9995,उमेरको,4
9996,बाउको,4
9997,सुनाउनु,4
9998,फ्रिमा,4
9999,छकोभिड,4
10000,घोषणाको,4
10001,जनसरोकारका,4
10002,बेलौरी,4
10003,मनोनित,4
10004,पहिरोको,4
10005,साधनहरु,4
10006,सुई,4
10007,तरङ्ग,4
10008,खराबी,4
10009,यिनले,4
10010,नवनिर्वाचित,4
10011,मिटिङ,4
10012,साधारणसभा,4
10013,समस्याग्रस्त,4
10014,समस्याबारे,4
10015,अस्थाई,4
10016,खद्,4
10017,कामपाले,4
10018,हुनुभन्दा,4
10019,त्यतातिर,4
10020,महेन्द्रप्रसाद,4
10021,हरित,4
10022,लाग्,4
10023,मीनबहादुर,4
10024,विश्वकर्माको,4
10025,पुनसञ्चालन,4
10026,श्रमको,4
10027,शोषण,4
10028,हप्ताभित्रै,4
10029,सूचनाबाट,4
10030,संस्थाबाट,4
10031,वैशाखको,4
10032,सुविधाअन्तर्गत,4
10033,इन्डियन,4
10034,मन्त्रीपरिषद,4
10035,प्राज्ञिक,4
10036,न्युनिकरणका,4
10037,भनेपछी,4
10038,रुकुममा,4
10039,राख्नुस,4
10040,अच्छा,4
10041,विशेषज्ञले,4
10042,विद्यार्थीका,4
10043,खोजि,4
10044,एफडीए,4
10045,गर्नुहुन,4
10046,यात्रुहरुलाई,4
10047,दाताहरूले,4
10048,श्रीराम,4
10049,जानकी,4
10050,अरुणा,4
10051,कागती,4
10052,संशोधित,4
10053,स्यानीटाइजर,4
10054,मंसिरमा,4
10055,क्षमतालाई,4
10056,कृष्णप्रसाद,4
10057,दबाव,4
10058,खटिन,4
10059,तवरबाट,4
10060,चौका,4
10061,तेस्को,4
10062,नरहने,4
10063,रहेछु,4
10064,रैछन्,4
10065,पारस,4
10066,राष्ट्रहरुलाई,4
10067,खुलेर,4
10068,बिद्यालय,4
10069,एसियन,4
10070,नवीन,4
10071,भ्रष्टाचारमा,4
10072,एवंम,4
10073,सत्यतथ्य,4
10074,हिसाबमा,4
10075,चिर,4
10076,जावलाखेलस्थित,4
10077,नेलम्बो,4
10078,बाल्ने,4
10079,चलाएको,4
10080,पैसामा,4
10081,बाहाना,4
10082,मार्गरेट,4
10083,वृद्धा,4
10084,हङकङले,4
10085,सुने,4
10086,गराइरहेको,4
10087,अनुसन्धानकर्ताहरूले,4
10088,चलाएका,4
10089,मार्केटमा,4
10090,टिकापुर,4
10091,पार्क,4
10092,गराए,4
10093,बेतलबी,4
10094,तारकेश्वर,4
10095,चेम्बरको,4
10096,जस्लाई,4
10097,निबासी,4
10098,टेबल,4
10099,पाउँदै,4
10100,कहिलेकाहीँ,4
10101,सकेछन,4
10102,चौतारीको,4
10103,अनुभवको,4
10104,पुग्ला,4
10105,वृद्धवृद्धा,4
10106,रूसद्वारा,4
10107,विर,4
10108,मस्कोमा,4
10109,अधिकारलाई,4
10110,स्वयंसेविका,4
10111,चलखेल,4
10112,विशेषज्ञहरूले,4
10113,घटनाका,4
10114,वर्षमान,4
10115,मानिसहरुमा,4
10116,कोविड,4
10117,एट,4
10118,पेसा,4
10119,सुविधालाई,4
10120,नीतिको,4
10121,निक्षेप,4
10122,लिइ,4
10123,समुचित,4
10124,डिग्री,4
10125,एन्टिजिनमा,4
10126,वित्त,4
10127,अनुमित,4
10128,देखाइ,4
10129,तिनलाई,4
10130,बायोएनटेकद्वारा,4
10131,फाइजरद्वारा,4
10132,युनियनको,4
10133,महामारीवाट,4
10134,बडी,4
10135,समाजबादी,4
10136,गयाे,4
10137,टू,4
10138,प्राक्टिस,4
10139,सैन्य,4
10140,जगाउँदै,4
10141,भेटघाटमा,4
10142,उनिहरुको,4
10143,अड्डामा,4
10144,बिधि,4
10145,गजुरेल,4
10146,पाम,4
10147,सृजनशील,4
10148,भाग्य,4
10149,संख्यात्मक,4
10150,भारतबीच,4
10151,क्रिकेटर,4
10152,यादवले,4
10153,बोलपत्र,4
